sample_id,scenario_type,constraint_kind,position_within_kind,constraint,assigned_type,matching_rules_in_order,multi_rule,precedence_winner,disclosure_turn,full_color_regex_match,color_classification_mismatch,revealed_by_category,revealed_by_brand,revealed_by_other,oracle_only
public_0001,buying,hard,1,Material:alloy,feature,"[""feature""]",False,feature,1,False,False,False,False,True,True
public_0001,buying,hard,2,Triple Moon Pentagram Symbol,feature,"[""feature""]",False,feature,2,False,False,False,False,True,True
public_0001,buying,soft,1,The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r,feature,"[""feature""]",False,feature,2,False,False,False,False,True,True
public_0001,buying,soft,2,"♥ a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine’s Day, Easter， Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th",feature,"[""feature""]",False,feature,3,False,False,False,False,True,True
public_0002,intent_override,hard,1,leather,material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0002,intent_override,hard,2,100% Leather,material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0002,intent_override,soft,1,Imported,feature,"[""feature""]",False,feature,4,False,False,False,False,True,True
public_0002,intent_override,soft,2,Buckle closure,feature,"[""feature""]",False,feature,4,False,False,False,False,True,True
public_0003,intent_override,hard,1,Water Resistant,feature,"[""feature""]",False,feature,2,False,False,False,False,True,True
public_0003,intent_override,hard,2,3 Year Battery,feature,"[""feature""]",False,feature,2,False,False,False,False,True,True
public_0003,intent_override,soft,1,Day / Date Indicator,feature,"[""feature""]",False,feature,4,False,False,False,False,True,True
public_0003,intent_override,soft,2,Stainless Steel Band,feature,"[""feature""]",False,feature,4,False,False,False,False,True,True
public_0004,intent_override,hard,1,polyester,material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0004,intent_override,hard,2,"Polyester,Cotton,Spandex",material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0004,intent_override,soft,1,"Quality soft cottonblend camisole, 95% cotton, 5% spandex, Neon Colors 57% cotton 38% polyester 5% spandex",material,"[""material"", ""color""]",True,material,4,False,False,False,False,True,True
public_0004,intent_override,soft,2,Long torso camisole for extra coverage with spagetti adjustable strap for perfect fit,style,"[""style""]",False,style,4,False,False,False,False,True,True
public_0005,buying,hard,1,leather,material,"[""material""]",False,material,1,False,False,False,False,True,True
public_0005,buying,hard,2,Rubber sole,feature,"[""feature""]",False,feature,2,False,False,False,False,True,True
public_0005,buying,soft,1,"Shaft measures approximately 8.37"" from arch",feature,"[""feature""]",False,feature,2,False,False,False,False,True,True
public_0005,buying,soft,2,Warm And Comfortable Women’s Winter Boots: These Women Winter Boots Featuring Thermolite Insulation Rated To -15F. Fully Lined With Soft Faux Fur To Keep The Feet Warm All Day Long,use_case,"[""use_case""]",False,use_case,3,False,False,False,False,True,True
public_0006,browsing,hard,1,polyester,material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0006,browsing,hard,2,100% Polyester,material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0006,browsing,soft,1,Drawstring closure,feature,"[""feature""]",False,feature,3,False,False,False,False,True,True
public_0006,browsing,soft,2,High quality mesh for maximum breathability to keep you cool,feature,"[""feature""]",False,feature,3,False,False,False,False,True,True
public_0007,browsing,hard,1,polyester,material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0007,browsing,hard,2,"75% Polyester, 20% Rayon, 5% Spandex",material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0007,browsing,soft,1,Imported,feature,"[""feature""]",False,feature,3,False,False,False,False,True,True
public_0007,browsing,soft,2,Pull On closure,feature,"[""feature""]",False,feature,3,False,False,False,False,True,True
public_0008,buying,hard,1,nylon,material,"[""material""]",False,material,1,False,False,False,False,True,True
public_0008,buying,hard,2,"96% Nylon, 4% Spandex",material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0008,buying,soft,1,Pull-On closure,feature,"[""feature""]",False,feature,2,False,False,False,False,True,True
public_0008,buying,soft,2,Hand Wash Only,feature,"[""feature""]",False,feature,3,False,False,False,False,True,True
public_0009,buying,hard,1,leather,material,"[""material""]",False,material,1,False,False,False,False,True,True
public_0009,buying,hard,2,Soft Washed PU Leather with Convenient side Pockets,material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0009,buying,soft,1,Imported,feature,"[""feature""]",False,feature,2,False,False,False,False,True,True
public_0009,buying,soft,2,Adjustable and Removable Shoulder Strap,feature,"[""feature""]",False,feature,3,False,False,False,False,True,True
public_0010,buying,hard,1,fabric,material,"[""material""]",False,material,1,False,False,False,False,True,True
public_0010,buying,hard,2,"Stretchy fabric: 95% modal, 5% spandex",material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0010,buying,soft,1,Imported,feature,"[""feature""]",False,feature,2,False,False,False,False,True,True
public_0010,buying,soft,2,Snap closure,feature,"[""feature""]",False,feature,3,False,False,False,False,True,True
public_0011,browsing,hard,1,cotton,material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0011,browsing,hard,2,100% Cotton,material,"[""material""]",False,material,2,False,False,False,False,True,True
public_0011,browsing,soft,1,Imported,feature,"[""feature""]",False,feature,3,False,False,False,False,True,True
