sample_id,split,turn,stage,clarification,category,intent_seed,specificity,typed_constraints,negations,profile_tags,asked_attributes,exp7_identity_top_10,oracle_joined_after_freeze,oracle_scenario_type
public_0001,calibration,1,structured_identity,fixed_other,Jewelry Necklaces,buying,specific,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}]",[],"[""fit"", ""comfort"", ""durability""]",[],"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B077J2Y5FB"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,buying
public_0001,calibration,2,structured_identity,fixed_other,Jewelry Necklaces,buying,specific,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Triple Moon Pentagram Symbol""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""}]",[],"[""fit"", ""comfort"", ""durability""]",[],"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B075KXNBNF"", ""B0140NWUGE"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,buying
public_0001,calibration,3,structured_identity,fixed_other,Jewelry Necklaces,buying,specific,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Triple Moon Pentagram Symbol""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""}]",[],"[""fit"", ""comfort"", ""durability""]",[],"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,buying
public_0001,calibration,4,structured_identity,fixed_other,Jewelry Necklaces,buying,specific,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Triple Moon Pentagram Symbol""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""}]",[],"[""fit"", ""comfort"", ""durability""]",[],"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,buying
public_0001,calibration,5,structured_identity,fixed_other,Jewelry Necklaces,buying,specific,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Triple Moon Pentagram Symbol""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""}]",[],"[""fit"", ""comfort"", ""durability""]",[],"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,buying
public_0001,calibration,6,structured_identity,fixed_other,Jewelry Necklaces,buying,specific,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Triple Moon Pentagram Symbol""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""}]",[],"[""fit"", ""comfort"", ""durability""]",[],"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,buying
public_0001,calibration,7,structured_identity,fixed_other,Jewelry Necklaces,buying,specific,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Triple Moon Pentagram Symbol""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""}]",[],"[""fit"", ""comfort"", ""durability""]",[],"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,buying
public_0001,calibration,8,structured_identity,fixed_other,Jewelry Necklaces,buying,specific,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Triple Moon Pentagram Symbol""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""}]",[],"[""fit"", ""comfort"", ""durability""]",[],"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,buying
public_0001,calibration,9,structured_identity,fixed_other,Jewelry Necklaces,buying,specific,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Triple Moon Pentagram Symbol""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""}]",[],"[""fit"", ""comfort"", ""durability""]",[],"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,buying
public_0001,calibration,10,structured_identity,fixed_other,Jewelry Necklaces,buying,specific,"[{""explicit"": true, ""hard"": true, ""kind"": ""feature"", ""negated"": false, ""source"": ""explicit_requirement"", ""source_turn"": 1, ""strength"": 1.0, ""value"": ""Material:alloy""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""Triple Moon Pentagram Symbol""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 2, ""strength"": 0.7, ""value"": ""The Triple Moon represents the Phases of the Moon which are linked to the three aspects of the Goddess and the phases of the Life of Women.The Pentagram representing the holistic r""}, {""explicit"": false, ""hard"": false, ""kind"": ""feature"", ""negated"": false, ""source"": ""ambiguous_disclosure"", ""source_turn"": 3, ""strength"": 0.7, ""value"": ""\u2665 a special gift to your wife/mom/girlfriend/daughter/grandmother/best friend/kids on St. Valentine\u2019s Day, Easter\uff0c Christmas day,Birthday,Anniversary ,Independence Day,Labor Day,Th""}]",[],"[""fit"", ""comfort"", ""durability""]",[],"[""B09PYB7B6Z"", ""B07CVVF3G2"", ""B077J2Y5FB"", ""B0140NWUGE"", ""B075KXNBNF"", ""B017NHP88G"", ""B072PTLN1L"", ""B07ZFM77HB"", ""B07CZ2TPVB"", ""B0046EC1NK""]",True,buying
